CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;22/09/2022;3;0,031;R
ES0031408520934026NH0F;22/09/2022;4;0,042;R
ES0031408520934026NH0F;22/09/2022;5;0,026;R
ES0031408520934026NH0F;22/09/2022;6;0,033;R
ES0031408520934026NH0F;22/09/2022;7;0,041;R
ES0031408520934026NH0F;22/09/2022;8;0,026;R
ES0031408520934026NH0F;22/09/2022;9;0,034;R
ES0031408520934026NH0F;22/09/2022;10;0,067;R
ES0031408520934026NH0F;22/09/2022;11;0,035;R
ES0031408520934026NH0F;22/09/2022;12;0,044;R
ES0031408520934026NH0F;22/09/2022;13;0,026;R
ES0031408520934026NH0F;22/09/2022;14;0,078;R
ES0031408520934026NH0F;22/09/2022;15;0,046;R
ES0031408520934026NH0F;22/09/2022;16;0,044;R
ES0031408520934026NH0F;22/09/2022;17;0,026;R
ES0031408520934026NH0F;22/09/2022;18;0,047;R
ES0031408520934026NH0F;22/09/2022;19;0,027;R
ES0031408520934026NH0F;22/09/2022;20;0,038;R
ES0031408520934026NH0F;22/09/2022;21;0,143;R
ES0031408520934026NH0F;22/09/2022;22;0,097;R
ES0031408520934026NH0F;22/09/2022;23;0,080;R
ES0031408520934026NH0F;22/09/2022;24;0,070;R
ES0031408520934026NH0F;23/09/2022;1;0,042;R
ES0031408520934026NH0F;23/09/2022;2;0,027;R
ES0031408520934026NH0F;23/09/2022;3;0,047;R
ES0031408520934026NH0F;23/09/2022;4;0,027;R
ES0031408520934026NH0F;23/09/2022;5;0,031;R
ES0031408520934026NH0F;23/09/2022;6;0,042;R
ES0031408520934026NH0F;23/09/2022;7;0,027;R
ES0031408520934026NH0F;23/09/2022;8;0,037;R
ES0031408520934026NH0F;23/09/2022;9;0,035;R
ES0031408520934026NH0F;23/09/2022;10;0,060;R
ES0031408520934026NH0F;23/09/2022;11;0,053;R
ES0031408520934026NH0F;23/09/2022;12;0,029;R
ES0031408520934026NH0F;23/09/2022;13;0,035;R
ES0031408520934026NH0F;23/09/2022;14;0,072;R
