cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2021/01/03";"23:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/03";"24:00";"0,069";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"01:00";"0,100";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"02:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"03:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"04:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"05:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"06:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"07:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"08:00";"0,063";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"09:00";"0,097";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"10:00";"0,045";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"11:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"12:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"13:00";"0,066";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"14:00";"0,219";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"15:00";"0,086";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"16:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"17:00";"0,045";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"18:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"19:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"20:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"21:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"22:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"23:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/04";"24:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"01:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"02:00";"0,043";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"03:00";"0,169";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"04:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"05:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"06:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"07:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"08:00";"0,077";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"09:00";"0,093";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"10:00";"0,043";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"11:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"12:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"13:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"14:00";"0,171";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"15:00";"0,069";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"16:00";"0,066";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"17:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"18:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/05";"19:00";"0,040";Real;NULL
