cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ES0553000000001456NC;01/01/2022;1:00;0,873;Estimada;0
ES0553000000001456NC;01/01/2022;2:00;0,39;Estimada;0
ES0553000000001456NC;01/01/2022;3:00;0,18;Estimada;0
ES0553000000001456NC;01/01/2022;4:00;0,078;Estimada;0
ES0553000000001456NC;01/01/2022;5:00;0,129;Estimada;0
ES0553000000001456NC;01/01/2022;6:00;0,1;Estimada;0
ES0553000000001456NC;01/01/2022;7:00;0,245;Estimada;0
ES0553000000001456NC;01/01/2022;8:00;0,272;Estimada;0
ES0553000000001456NC;01/01/2022;9:00;0,222;Estimada;0
ES0553000000001456NC;01/01/2022;10:00;0,215;Estimada;0
ES0553000000001456NC;01/01/2022;11:00;0,154;Estimada;0
ES0553000000001456NC;01/01/2022;12:00;0,243;Estimada;0
ES0553000000001456NC;01/01/2022;13:00;1,47;Estimada;0
ES0553000000001456NC;01/01/2022;14:00;1,088;Estimada;0
ES0553000000001456NC;01/01/2022;15:00;0,509;Estimada;0
ES0553000000001456NC;01/01/2022;16:00;0,456;Estimada;0
ES0553000000001456NC;01/01/2022;17:00;0,219;Estimada;0
ES0553000000001456NC;01/01/2022;18:00;0,314;Estimada;0
ES0553000000001456NC;01/01/2022;19:00;0,27;Estimada;0
ES0553000000001456NC;01/01/2022;20:00;0,292;Estimada;0
ES0553000000001456NC;01/01/2022;21:00;0,291;Estimada;0
ES0553000000001456NC;01/01/2022;22:00;0,16;Estimada;0
ES0553000000001456NC;01/01/2022;23:00;0,11;Estimada;0
ES0553000000001456NC;01/01/2022;24:00:00;0,108;Estimada;0
ES0553000000001456NC;02/01/2022;1:00;0,146;Estimada;0
ES0553000000001456NC;02/01/2022;2:00;0,095;Estimada;0
ES0553000000001456NC;02/01/2022;3:00;0,086;Estimada;0
ES0553000000001456NC;02/01/2022;4:00;0,126;Estimada;0
ES0553000000001456NC;02/01/2022;5:00;0,076;Estimada;0
ES0553000000001456NC;02/01/2022;6:00;0,124;Estimada;0
ES0553000000001456NC;02/01/2022;7:00;0,141;Estimada;0
ES0553000000001456NC;02/01/2022;8:00;0,214;Estimada;0
ES0553000000001456NC;02/01/2022;9:00;0,183;Estimada;0
ES0553000000001456NC;02/01/2022;10:00;0,153;Estimada;0
ES0553000000001456NC;02/01/2022;11:00;0,73;Estimada;0
ES0553000000001456NC;02/01/2022;12:00;0,34;Estimada;0
ES0553000000001456NC;02/01/2022;13:00;0,148;Estimada;0
ES0553000000001456NC;02/01/2022;14:00;0,156;Estimada;0
ES0553000000001456NC;02/01/2022;15:00;0,36;Estimada;0
ES0553000000001456NC;02/01/2022;16:00;0,224;Estimada;0
ES0553000000001456NC;02/01/2022;17:00;0,194;Estimada;0
ES0553000000001456NC;02/01/2022;18:00;0,108;Estimada;0
ES0553000000001456NC;02/01/2022;19:00;0,325;Estimada;0
ES0553000000001456NC;02/01/2022;20:00;0,31;Estimada;0
ES0553000000001456NC;02/01/2022;21:00;0,445;Estimada;0
ES0553000000001456NC;02/01/2022;22:00;0,315;Estimada;0
ES0553000000001456NC;02/01/2022;23:00;0,179;Estimada;0
ES0553000000001456NC;02/01/2022;24:00:00;0,138;Estimada;0
ES0553000000001456NC;03/01/2022;1:00;0,106;Estimada;0
ES0553000000001456NC;03/01/2022;2:00;0,161;Estimada;0
ES0553000000001456NC;03/01/2022;3:00;0,099;Estimada;0
ES0553000000001456NC;03/01/2022;4:00;0,076;Estimada;0
ES0553000000001456NC;03/01/2022;5:00;0,12;Estimada;0
ES0553000000001456NC;03/01/2022;6:00;0,173;Estimada;0
ES0553000000001456NC;03/01/2022;7:00;0,076;Estimada;0
ES0553000000001456NC;03/01/2022;8:00;0,266;Estimada;0
ES0553000000001456NC;03/01/2022;9:00;0,104;Estimada;0
ES0553000000001456NC;03/01/2022;10:00;0,158;Estimada;0
ES0553000000001456NC;03/01/2022;11:00;0,08;Estimada;0
ES0553000000001456NC;03/01/2022;12:00;0,08;Estimada;0
ES0553000000001456NC;03/01/2022;13:00;0,079;Estimada;0
ES0553000000001456NC;03/01/2022;14:00;0,11;Estimada;0
ES0553000000001456NC;03/01/2022;15:00;0,167;Estimada;0
ES0553000000001456NC;03/01/2022;16:00;0,169;Estimada;0
ES0553000000001456NC;03/01/2022;17:00;0,186;Estimada;0
ES0553000000001456NC;03/01/2022;18:00;0,199;Estimada;0
ES0553000000001456NC;03/01/2022;19:00;0,262;Estimada;0
ES0553000000001456NC;03/01/2022;20:00;0,232;Estimada;0
ES0553000000001456NC;03/01/2022;21:00;0,234;Estimada;0
ES0553000000001456NC;03/01/2022;22:00;0,184;Estimada;0
ES0553000000001456NC;03/01/2022;23:00;0,126;Estimada;0
ES0553000000001456NC;03/01/2022;24:00:00;0,156;Estimada;0
ES0553000000001456NC;04/01/2022;1:00;1,467;Estimada;0
ES0553000000001456NC;04/01/2022;2:00;0,643;Estimada;0
ES0553000000001456NC;04/01/2022;3:00;0,278;Estimada;0
ES0553000000001456NC;04/01/2022;4:00;0,168;Estimada;0
ES0553000000001456NC;04/01/2022;5:00;0,109;Estimada;0
ES0553000000001456NC;04/01/2022;6:00;0,129;Estimada;0
ES0553000000001456NC;04/01/2022;7:00;0,077;Estimada;0
ES0553000000001456NC;04/01/2022;8:00;0,349;Estimada;0
ES0553000000001456NC;04/01/2022;9:00;0,109;Estimada;0
ES0553000000001456NC;04/01/2022;10:00;0,117;Estimada;0
ES0553000000001456NC;04/01/2022;11:00;0,161;Estimada;0
ES0553000000001456NC;04/01/2022;12:00;0,121;Estimada;0
ES0553000000001456NC;04/01/2022;13:00;0,132;Estimada;0
ES0553000000001456NC;04/01/2022;14:00;0,17;Estimada;0
ES0553000000001456NC;04/01/2022;15:00;0,168;Estimada;0
ES0553000000001456NC;04/01/2022;16:00;0,176;Estimada;0
ES0553000000001456NC;04/01/2022;17:00;0,174;Estimada;0
ES0553000000001456NC;04/01/2022;18:00;0,18;Estimada;0
ES0553000000001456NC;04/01/2022;19:00;0,205;Estimada;0
ES0553000000001456NC;04/01/2022;20:00;0,252;Estimada;0
ES0553000000001456NC;04/01/2022;21:00;0,258;Estimada;0
ES0553000000001456NC;04/01/2022;22:00;0,185;Estimada;0
ES0553000000001456NC;04/01/2022;23:00;0,119;Estimada;0
ES0553000000001456NC;04/01/2022;24:00:00;0,101;Estimada;0
ES0553000000001456NC;05/01/2022;1:00;0,732;Estimada;0
ES0553000000001456NC;05/01/2022;2:00;0,327;Estimada;0
ES0553000000001456NC;05/01/2022;3:00;0,159;Estimada;0
ES0553000000001456NC;05/01/2022;4:00;0,097;Estimada;0
ES0553000000001456NC;05/01/2022;5:00;0,15;Estimada;0
ES0553000000001456NC;05/01/2022;6:00;0,103;Estimada;0
ES0553000000001456NC;05/01/2022;7:00;0,304;Estimada;0
ES0553000000001456NC;05/01/2022;8:00;0,561;Estimada;0
ES0553000000001456NC;05/01/2022;9:00;0,167;Estimada;0
ES0553000000001456NC;05/01/2022;10:00;0,102;Estimada;0
ES0553000000001456NC;05/01/2022;11:00;0,101;Estimada;0
ES0553000000001456NC;05/01/2022;12:00;0,117;Estimada;0
ES0553000000001456NC;05/01/2022;13:00;0,177;Estimada;0
ES0553000000001456NC;05/01/2022;14:00;0,169;Estimada;0
ES0553000000001456NC;05/01/2022;15:00;0,144;Estimada;0
ES0553000000001456NC;05/01/2022;16:00;0,103;Estimada;0
ES0553000000001456NC;05/01/2022;17:00;0,156;Estimada;0
ES0553000000001456NC;05/01/2022;18:00;0,154;Estimada;0
ES0553000000001456NC;05/01/2022;19:00;0,222;Estimada;0
ES0553000000001456NC;05/01/2022;20:00;0,237;Estimada;0
ES0553000000001456NC;05/01/2022;21:00;0,219;Estimada;0
ES0553000000001456NC;05/01/2022;22:00;0,181;Estimada;0
ES0553000000001456NC;05/01/2022;23:00;0,121;Estimada;0
ES0553000000001456NC;05/01/2022;24:00:00;0,112;Estimada;0
ES0553000000001456NC;06/01/2022;1:00;1,557;Estimada;0
ES0553000000001456NC;06/01/2022;2:00;1,1;Estimada;0
ES0553000000001456NC;06/01/2022;3:00;0,408;Estimada;0
ES0553000000001456NC;06/01/2022;4:00;0,223;Estimada;0
ES0553000000001456NC;06/01/2022;5:00;0,096;Estimada;0
ES0553000000001456NC;06/01/2022;6:00;0,137;Estimada;0
ES0553000000001456NC;06/01/2022;7:00;0,15;Estimada;0
ES0553000000001456NC;06/01/2022;8:00;0,299;Estimada;0
ES0553000000001456NC;06/01/2022;9:00;0,174;Estimada;0
ES0553000000001456NC;06/01/2022;10:00;0,168;Estimada;0
ES0553000000001456NC;06/01/2022;11:00;0,165;Estimada;0
ES0553000000001456NC;06/01/2022;12:00;0,166;Estimada;0
ES0553000000001456NC;06/01/2022;13:00;0,253;Estimada;0
ES0553000000001456NC;06/01/2022;14:00;0,143;Estimada;0
ES0553000000001456NC;06/01/2022;15:00;0,111;Estimada;0
ES0553000000001456NC;06/01/2022;16:00;0,193;Estimada;0
ES0553000000001456NC;06/01/2022;17:00;0,181;Estimada;0
ES0553000000001456NC;06/01/2022;18:00;0,176;Estimada;0
ES0553000000001456NC;06/01/2022;19:00;0,224;Estimada;0
ES0553000000001456NC;06/01/2022;20:00;0,228;Estimada;0
ES0553000000001456NC;06/01/2022;21:00;0,206;Estimada;0
ES0553000000001456NC;06/01/2022;22:00;0,137;Estimada;0
ES0553000000001456NC;06/01/2022;23:00;0,098;Estimada;0
ES0553000000001456NC;06/01/2022;24:00:00;0,102;Estimada;0
ES0553000000001456NC;07/01/2022;1:00;0,603;Estimada;0
ES0553000000001456NC;07/01/2022;2:00;0,269;Estimada;0
ES0553000000001456NC;07/01/2022;3:00;0,15;Estimada;0
ES0553000000001456NC;07/01/2022;4:00;0,153;Estimada;0
ES0553000000001456NC;07/01/2022;5:00;0,147;Estimada;0
ES0553000000001456NC;07/01/2022;6:00;0,092;Estimada;0
ES0553000000001456NC;07/01/2022;7:00;0,124;Estimada;0
ES0553000000001456NC;07/01/2022;8:00;0,118;Estimada;0
ES0553000000001456NC;07/01/2022;9:00;0,12;Estimada;0
ES0553000000001456NC;07/01/2022;10:00;0,153;Estimada;0
ES0553000000001456NC;07/01/2022;11:00;0,116;Estimada;0
ES0553000000001456NC;07/01/2022;12:00;0,109;Estimada;0
ES0553000000001456NC;07/01/2022;13:00;0,108;Estimada;0
ES0553000000001456NC;07/01/2022;14:00;0,107;Estimada;0
ES0553000000001456NC;07/01/2022;15:00;0,104;Estimada;0
