cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2022/01/01";"01:00";"0,060";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"02:00";"0,083";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"03:00";"0,047";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"04:00";"0,096";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"05:00";"0,047";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"06:00";"0,065";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"07:00";"0,082";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"08:00";"0,046";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"09:00";"0,083";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"10:00";"0,085";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"11:00";"0,043";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"12:00";"0,084";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"13:00";"0,065";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"14:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"15:00";"0,094";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"16:00";"0,041";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"17:00";"0,042";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"18:00";"0,099";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"19:00";"0,046";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"20:00";"0,046";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"21:00";"0,106";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"22:00";"0,052";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"23:00";"0,051";Real;NULL
"ES0031406180691001QR0F";"2022/01/01";"24:00";"0,052";Real;NULL
"ES0031406180691001QR0F";"2022/01/02";"01:00";"0,111";Real;NULL
