cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2021/07/01";"01:00";"2,645";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"02:00";"5,253";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"03:00";"5,117";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"04:00";"5,074";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"05:00";"5,030";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"06:00";"5,123";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"07:00";"5,089";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"08:00";"4,898";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"09:00";"0,985";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"10:00";"0,066";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"11:00";"0,084";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"12:00";"0,067";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"13:00";"0,183";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"14:00";"0,131";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"15:00";"0,087";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"16:00";"0,096";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"17:00";"0,119";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"18:00";"0,091";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"19:00";"0,484";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"20:00";"0,103";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"21:00";"0,133";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"22:00";"0,097";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"23:00";"0,088";Real;NULL
"ES0031406180691001QR0F";"2021/07/01";"24:00";"0,093";Real;NULL
"ES0031406180691001QR0F";"2021/07/02";"01:00";"2,691";Real;NULL
